pickup_week,trips,duration_p50,duration_p95,speed_p50,revenue_total,tip_percent_median,flex_fare_percent,airport_percent,invalid_percent,trips_index
2020-12-28,76318.0,8.766666666666667,29.166666666666668,13.516685086726437,1411153.57,15.22491349480969,0.0,0.0,0.0,9.40202212834737
2021-01-04,274978.0,8.666666666666666,26.333333333333332,11.927710843373495,4573640.29,16.309412861136998,0.0,0.0,0.0,33.87600881585869
2021-01-11,287106.0,8.816666666666666,25.6,11.645893296608538,4671684.87,16.582914572864322,0.0,0.0,0.0,35.37012192643021
2021-01-18,284642.0,8.766666666666667,25.566666666666666,11.652379544782738,4626037.95,16.587677725118482,0.0,0.0,0.0,35.066568603174254
2021-01-25,293199.0,12.337499999999999,26.704166666666666,14.136526822108106,4696119.36,10.41248293035585,0.0,0.0,0.0,36.12075114664065
2021-02-01,253037.0,8.241666666666667,29.2,11.526058092753555,4261178.230000001,13.975657044377423,0.0,0.0,0.0,31.172979811979268
2021-02-08,331351.0,9.566666666666666,27.45,10.663232453316164,5464654.220000001,16.591928251121075,0.0,0.0,0.0,40.82089984341872
2021-02-15,296363.0,8.966666666666667,26.066666666666666,11.542621684264745,4865057.91,16.591928251121075,0.0,0.00033742403741357724,0.0,36.510541209457955
2021-02-22,339453.0,9.483333333333333,27.95,10.839532412327312,5634493.429999999,16.666666666666664,0.0,0.0,0.0,41.81902850617024
2021-03-01,366349.0,6.5625,26.816666666666666,11.352187075798849,6026307.26,14.067103109656301,0.0,0.0,0.0,45.132490430801795
2021-03-08,382105.0,9.45,27.3,11.106924163918983,6367724.2,16.595744680851062,0.0,0.0,0.0,47.07355624298557
2021-03-15,404295.0,9.416666666666666,27.316666666666666,11.0260336906585,6740638.900000001,16.595744680851062,0.0,0.0,0.0,49.80726088708038
2021-03-22,397191.0,9.466666666666667,28.366666666666667,11.296043656207367,6767177.42,16.595744680851062,0.0,0.0,0.0,48.932081175874906
2021-03-29,400710.0,9.308333333333334,28.3,11.512458440363112,6860272.860000001,16.59383646598607,0.0,0.0,0.0,49.365605585184035
2021-04-05,431870.0,9.8,29.866666666666667,11.10285829496068,7576309.720000001,16.595744680851062,0.0,2.172412994651168,0.0,53.20437244908644
2021-04-12,461656.0,9.25,30.083333333333332,8.723468925195084,8084474.640000001,14.82133427213519,0.0,1.554414246197902,0.0,56.873868912764145
2021-04-19,472316.0,9.966666666666667,29.516666666666666,10.854271356783919,8270615.710000001,16.602316602316602,0.0,3.450020748820705,0.0,58.187131260941285
2021-04-26,491530.0,9.908333333333333,30.833333333333332,11.370005146165749,8715473.61,16.603741326988562,0.0,4.042171504192497,0.0,60.55420656655813
2021-05-03,514686.0,8.05,30.466666666666665,9.86041871806901,9147701.72,8.301158301158301,0.0,1.957321302627054,0.0,63.40691791124761
2021-05-10,523044.0,10.316666666666666,31.3,10.939226519337018,9530125.73,16.602316602316602,0.0,4.420469406015555,0.0,64.43658458161013
2021-05-17,551292.0,10.383333333333333,32.11666666666667,10.790190735694823,10088882.23,16.605166051660518,0.0,4.437938515342141,0.0,67.91660660893733
2021-05-24,513571.0,10.15,33.38333333333333,13.640453361053586,9488101.680000003,12.467824967824967,0.0,2.470748818561868,0.0,63.269555104660604
2021-05-31,551350.0,10.683333333333334,33.68333333333333,13.566988564671648,10356733.560000002,16.595744680851062,0.0,4.893303746801327,0.0,67.9237519387867
2021-06-07,600791.0,10.9,34.03333333333333,10.400363967242948,11308572.04,16.607773851590107,0.0,4.899374324848408,0.0,74.0146528540049
2021-06-14,606321.0,12.758333333333333,35.233333333333334,10.894401417227986,11528996.45,16.637220259128384,0.0,2.5376905556316065,0.0,74.69592309653956
2021-06-21,618670.0,17.608333333333334,35.1,10.082653559551446,11858553.420000002,8.303886925795053,0.0,2.612139932661892,0.0,76.21726237774402
