pickup_date,trips,duration_p50,duration_p95,speed_p50,revenue_total,tip_percent_median,flex_fare_percent,airport_percent,invalid_percent,trips_index
2021-01-01,21851.0,8.4,27.15,14.341164453524005,388904.68000000005,13.171759747102213,0.0,0.0,0.0,17.32817344826766
2021-01-02,31009.0,9.316666666666666,29.583333333333332,12.51165889407062,565187.3,15.8934627528944,0.0,0.0,0.0,24.59060594285533
2021-01-03,23458.0,8.433333333333334,30.16916666666663,14.144566016383125,457061.59,16.260162601626014,0.0,0.0,0.0,18.602548750604672
2021-01-04,39006.0,8.75,27.65,12.098258350163508,672348.18,14.553703755622992,0.0,0.0,0.0,30.93234787987407
2021-01-05,41161.0,8.733333333333333,26.2,11.627218934911243,680154.56,15.151515151515152,0.0,0.0,0.0,32.641295469504605
2021-01-06,43604.0,8.733333333333333,25.614166666666645,11.53846153846154,706304.92,16.55629139072848,0.0,0.0,0.0,34.578631414501075
2021-01-07,44148.0,8.866666666666667,26.44416666666669,11.35646687697161,725306.75,16.260162601626014,0.0,0.0,0.0,35.0100316413034
2021-01-08,44332.0,8.683333333333334,25.55,11.49425287356322,715399.01,16.57142857142857,0.0,0.0,0.0,35.15594642389831
2021-01-09,35893.0,8.333333333333334,25.540000000000024,12.79037988521454,596776.13,16.587677725118482,0.0,0.0,0.0,28.463691802602675
2021-01-10,26834.0,8.3,27.766666666666666,13.673496047441173,477350.74,16.587677725118482,0.0,0.0,0.0,21.279767805172046
2021-01-11,40903.0,8.666666666666666,25.316666666666666,11.641168289290682,663390.22,16.260162601626014,0.0,0.0,0.0,32.43669756782262
2021-01-12,44010.0,9.033333333333333,25.683333333333334,11.151539666883851,707920.28,16.57142857142857,0.0,0.0,0.0,34.900595554357224
2021-01-13,45074.0,8.8,24.2,11.326284967509036,712030.26,16.587677725118482,0.0,0.0,0.0,35.74436364501471
2021-01-14,46746.0,9.0,25.533333333333335,11.304954640614095,760508.04,16.582914572864322,0.0,0.0,0.0,37.07028493033362
2021-01-15,46512.0,9.05,27.15,10.99624060150376,757143.4400000001,16.582914572864322,0.0,0.0,0.0,36.8847193915988
2021-01-16,34947.0,8.55,25.266666666666666,12.786282914880585,575502.99,16.591928251121075,0.0,0.0,0.0,27.713499496435396
2021-01-17,28914.0,8.4,25.966666666666665,13.624814172559049,495189.64,16.595744680851062,0.0,0.0,0.0,22.9292392605927
2021-01-18,33119.0,8.316666666666666,25.566666666666666,12.642669007901668,550151.8500000001,16.587677725118482,0.0,0.0,0.0,26.263867851959937
2021-01-19,45202.0,9.116666666666667,25.55,11.052631578947366,732447.55,16.582914572864322,0.0,0.0,0.0,35.8458695807329
2021-01-20,44058.0,8.65,24.083333333333332,11.522018886198389,698085.25,16.587677725118482,0.0,0.0,0.0,34.93866028025155
2021-01-21,47715.0,9.35,27.4,10.801033591731265,781294.55,16.587677725118482,0.0,0.0,0.0,37.83871658432526
2021-01-22,48124.0,9.0,25.8,11.10615449970005,776595.1500000001,16.591928251121075,0.0,0.0,0.0,38.163059769549804
2021-01-23,38330.0,8.366666666666667,24.54249999999993,12.261505133969816,610541.62,16.595744680851062,0.0,0.0,0.0,30.396269656862355
