month,raw_revenue,clean_revenue,revenue_risk,raw_speed_p50,clean_speed_p50,speed_diff
1,20884410.36,19978508.68,905901.6799999997,11.6262024736601,11.711711711711711,-0.08550923805161048
2,21070991.96,20225421.439999998,845570.5200000033,10.818030050083474,10.89750398300584,-0.07947393292236704
3,30416152.080000002,28822768.200000003,1593383.879999999,11.045062320230105,11.11787733797303,-0.07281501774292387
4,36170643.81,34266671.07000001,1903972.7399999946,10.835475578406168,10.918765519687831,-0.083289941281663
5,43325013.019999996,41618404.06999999,1706608.950000003,10.83563199740386,10.915982312065697,-0.08035031466183717
6,51060029.38,49010385.84,2049643.539999999,10.505836575875486,10.5859375,-0.08010092412451364
7,51854883.07,49738586.5,2116296.5700000003,11.034980165885322,11.127487103905674,-0.09250693802035137
8,51848407.3,49659797.870000005,2188609.4299999923,11.206675224646983,11.306532663316581,-0.09985743866959851
9,57167326.81,53723370.54000001,3443956.269999996,10.282413350449293,10.404624277456648,-0.12221092700735525
10,66002830.19,63350014.46,2652815.7299999967,9.870814658581597,9.953271028037383,-0.0824563694557856
11,67852696.84,65176929.620000005,2675767.219999999,9.856495468277943,9.93282149712092,-0.0763260288429759
12,63956439.58,61373606.67,2582832.9099999964,10.16260162601626,10.24932614555256,-0.08672451953630045
