PULocationID,trips,duration_avg,distance_avg,fare_avg,revenue_total,cluster
4,26139,13.741818738283792,2.8345801293086956,12.33072650063124,475511.06,0
7,18704,14.708884908753921,3.2699107142857144,13.428836612489306,311788.48,0
10,4988,40.65315423683507,14.947257417802726,52.87001202886928,342858.83,1
12,9427,18.140624447508927,4.48191789540681,17.044940065768536,218981.2,0
13,145656,16.685321922886803,4.353592986214093,16.270433349810514,3385289.14,0
14,509,28.338441388343156,9.25516699410609,32.03664047151277,19730.079999999998,1
17,1947,19.929583975346688,4.053004622496148,17.28988186954289,40307.75,0
18,558,24.367174432497013,5.783602150537634,22.26967741935484,14125.75,0
23,566,47.16837455830389,22.92226148409894,65.39310954063605,43239.1,3
24,106464,13.190215158801724,2.632197456417193,11.752987113014727,1761702.54,0
25,10050,17.585175787728026,4.074309452736318,16.13589552238806,205426.32,0
28,1027,26.95506329113924,9.89076923076923,39.91750730282376,54001.94,1
33,13007,17.974964762563747,4.3923210578919045,16.807806565695397,287921.94,0
35,549,31.692835458409228,9.413897996357013,31.92183970856102,19854.47,1
36,806,24.27799834574028,6.410124069478909,22.77632754342432,23720.2,0
37,1446,20.913254956201012,4.61679806362379,18.412676348547716,32827.46,0
39,694,35.89450048030739,11.166368876080691,37.364048991354466,29924.16,1
40,4344,16.550859422958872,3.917032688766114,15.209933241252301,88612.9,0
41,124423,12.524658356306041,2.414011155493759,11.074687798879628,1820493.7,0
42,46074,12.481685621681065,2.52082736467422,11.329815080088554,644194.68,0
43,529180,12.478772660846342,2.2162404096904647,10.693532540912354,8661817.42,2
44,1164,61.79216781214203,37.815206185567014,101.8741408934708,130963.76,3
45,31496,16.43536957073914,3.403577914655829,14.434548831597663,643097.64,0
47,800,23.293937500000002,5.5648,21.788575,20340.47,0
48,814802,12.223585157293837,2.4958542688898655,11.137579461022431,13844752.18,2
49,2302,19.31922241529105,4.282901824500434,17.49111642050391,49026.01,0
50,206108,12.30451648326767,2.4963536592466085,11.118531303976557,3482096.42,0
51,760,40.06710526315789,13.977565789473685,44.35661842105263,38299.64,1
52,6411,17.868039307440338,4.187953517391983,16.367555763531428,137519.37,0
56,646,27.278173374613004,7.726764705882353,37.669427244582046,31656.829999999998,1
61,1790,22.051843575418996,4.699625698324022,19.474810055865923,41119.58,0
62,501,24.735562208915503,5.340179640718563,21.161876247504992,12303.09,0
64,791,33.000210703750525,17.09103666245259,49.1202402022756,43015.64,1
65,18848,17.34239795557442,4.593634868421053,17.24400785229202,425298.2,0
66,5346,18.75235066716548,4.720480733258511,18.049251777029557,127660.63,0
68,669779,13.470052335670921,2.5037395469251797,11.56546099534324,11763694.31,2
69,1450,19.859574712643678,5.347062068965517,19.868317241379312,33309.98,0
70,73273,27.23190124602514,9.618558814297218,30.668687238136833,3132167.38,1
74,126797,12.313429602698276,2.574421082517725,11.326935889650386,1867213.58,0
75,283493,12.191540708236182,2.4886357687844143,11.089775408916623,4346004.18,0
76,806,30.783808933002483,9.51179900744417,33.168672456575685,30410.77,1
79,712880,12.375126038042868,2.585387737066547,11.254674812030075,12304863.81,2
80,2980,17.753109619686803,4.685835570469799,19.51104697986577,75116.23,0
82,3405,17.362261380323055,4.360584434654919,20.251092511013216,87711.93000000001,0
83,1117,17.119800059683676,4.1026320501342886,17.905425246195165,24355.82,0
87,136762,16.18587948406721,4.304436246910692,15.986909887249382,3114432.7,0
88,68479,17.144956848084814,4.657652565019934,17.024970428890608,1622058.2,0
89,1124,28.524896204033215,7.394555160142349,26.765195729537368,35160.37,0
90,529848,11.834033471234518,2.1816160861228124,10.334914447162205,8578766.07,2
92,567,22.803145208700766,6.925714285714286,27.373386243386243,18810.15,0
93,2552,26.697041536050158,10.128652037617554,46.616496865203764,156263.47,1
95,1842,19.11770720231632,4.957399565689468,20.178078175895763,46616.51,0
97,11136,16.6347341954023,3.786654992816092,15.289075969827586,215516.25,0
100,470052,12.744995482769282,2.411302409095164,11.192287321402738,7977830.21,2
106,806,18.501240694789082,4.232245657568238,16.992816377171216,17094.83,0
107,701640,11.969466250498833,2.294715324097828,10.633481999315888,11600687.57,2
112,3145,17.069878113407526,4.046050874403815,15.757526232114467,66286.09,0
